trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2123068,15,248818,High Bridge,5711,1,5711,115,
2123069,14,248818,Princeton Station,4107,1,4107,114,
2123070,14,248818,Princeton Station,4123,1,4123,114,
2123071,14,248818,Princeton Station,4133,1,4133,114,
2123072,14,248818,Princeton Station,4125,1,4125,114,
2123073,14,248818,Princeton Station,4131,1,4131,114,
2123074,14,248818,Princeton Junction,4132,0,4132,14,
2123075,14,248818,Princeton Junction,4134,0,4134,14,
2123076,14,248818,Princeton Station,4135,1,4135,114,
2123077,14,248818,Princeton Junction,4136,0,4136,14,
2123078,14,248818,Princeton Station,4137,1,4137,114,
2123079,14,248818,Princeton Junction,4138,0,4138,14,
2123080,14,248818,Princeton Station,4139,1,4139,114,
2123081,14,248818,Princeton Junction,4144,0,4144,14,
2123082,14,248818,Princeton Junction,4140,0,4140,14,
2123083,14,248818,Princeton Junction,4142,0,4142,14,
2123084,14,248818,Princeton Junction,4146,0,4146,14,
2123085,14,248818,Princeton Junction,4154,0,4154,14,
2123086,14,248818,Princeton Junction,4156,0,4156,14,
2123087,14,248818,Princeton Station,4157,1,4157,114,
2123088,14,248818,Princeton Junction,4158,0,4158,14,
2123089,14,248818,Princeton Station,4159,1,4159,114,
2123090,14,248818,Princeton Junction,4164,0,4164,14,
2123091,14,248818,Princeton Junction,4176,0,4176,14,
2123092,10,248818,Bay Head,4315,1,4315,110,
2123093,10,248818,Bay Head,4323,1,4323,110,
2123094,10,248818,Bay Head,4343,1,4343,110,
2123095,1,248818,Philadelphia 30th St.,4608,1,4608,101,
2123096,1,248818,Philadelphia 30th St.,4610,1,4610,101,
2123097,1,248818,Philadelphia 30th St.,4612,1,4612,101,
2123098,1,248818,Atlantic City Terminal,4613,0,4613,1,
2123099,1,248818,Philadelphia 30th St.,4616,1,4616,101,
2123100,1,248818,Philadelphia 30th St.,4620,1,4620,101,
2123101,1,248818,Atlantic City Terminal,4623,0,4623,1,
2123102,1,248818,Philadelphia 30th St.,4624,1,4624,101,
2123103,1,248818,Atlantic City Terminal,4627,0,4627,1,
2123104,1,248818,Philadelphia 30th St.,4628,1,4628,101,
2123105,1,248818,Philadelphia 30th St.,4630,1,4630,101,
2123106,1,248818,Philadelphia 30th St.,4632,1,4632,101,
2123107,1,248818,Philadelphia 30th St.,4634,1,4634,101,
2123108,1,248818,Atlantic City Terminal,4635,0,4635,1,
2123109,1,248818,Philadelphia 30th St.,4638,1,4638,101,
2123110,1,248818,Atlantic City Terminal,4639,0,4639,1,
2123111,1,248818,Atlantic City Terminal,4641,0,4641,1,
2123112,1,248818,Philadelphia 30th St.,4642,1,4642,101,
2123113,1,248818,Atlantic City Terminal,4643,0,4643,1,
2123114,15,248818,Raritan,5409,1,5409,115,
2123115,15,248818,Penn Station New York,5150,0,5150,15,
2123116,15,248818,Raritan,5403,1,5403,115,
2123117,15,248818,Newark Penn Station,5412,0,5412,15,
2123118,15,248818,Raritan,5413,1,5413,115,
2123119,15,248818,Newark Penn Station,5420,0,5420,15,
2123120,15,248818,Raritan,5431,1,5431,115,
2123121,15,248818,Raritan,5435,1,5435,115,
2123122,15,248818,Raritan,5441,1,5441,115,
2123123,15,248818,Raritan,5451,1,5451,115,
2123124,15,248818,Newark Penn Station,5710,0,5710,15,
2123125,15,248818,High Bridge,5733,1,5733,115,
2123126,15,248818,High Bridge,5747,1,5747,115,
2123127,2,248818,Penn Station New York,6202,0,6202,22,
2123128,2,248818,Montclair State University,6213,1,6213,122,
2123129,2,248818,Penn Station New York,6214,0,6214,22,
2123130,2,248818,Montclair State University,6219,1,6219,122,
2123131,2,248818,Penn Station New York,6222,0,6222,22,
2123132,2,248818,Montclair State University,6227,1,6227,122,
2123133,2,248818,Penn Station New York,6230,0,6230,22,
2123134,2,248818,Montclair State University,6231,1,6231,122,
2123135,2,248818,Montclair State University,6233,1,6233,122,
2123136,2,248818,Penn Station New York,6234,0,6234,22,
2123137,2,248818,Montclair State University,6241,1,6241,122,
2123138,2,248818,Montclair State University,6245,1,6245,122,
2123139,2,248818,Montclair State University,6251,1,6251,122,
2123140,2,248818,Montclair State University,6253,1,6253,122,
